service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3_merged_2495709,20160320,20160416,0,0,0,0,0,0,1
1_merged_2495708,20160320,20160416,1,1,1,1,1,0,0
6_merged_2495712,20160320,20160416,0,0,0,0,1,0,0
1_merged_2495713,20160417,20160528,1,1,1,1,1,0,0
3_merged_2495714,20160417,20160528,0,0,0,0,0,0,1
4,20160320,20160416,0,0,0,0,0,0,0
5_merged_2495711,20160320,20160416,1,1,1,1,0,0,0
2_merged_2495715,20160417,20160528,0,0,0,0,0,1,0
6_merged_2495717,20160417,20160528,0,0,0,0,1,0,0
2_merged_2495710,20160320,20160416,0,0,0,0,0,1,0
5_merged_2495716,20160417,20160528,1,1,1,1,0,0,0
