route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_desc,route_short_name
Lake Forest Express,10141,3,FFFFFF,NORTA,1F2D84,,,64
New Orleans East Owl,10140,3,FFFFFF,NORTA,1F2D84,,,63
Desire-Louisa,10143,3,000000,NORTA,F8B9AB,,,80
Read-Crowder Express,10142,3,FFFFFF,NORTA,00873D,,,65
St. Claude/Jackson Barracks,10145,3,FFFFFF,NORTA,001D5B,,,88
Galvez,10144,3,000000,NORTA,B890C2,,,84
Jackson-Esplanade,10147,3,000000,NORTA,A99B06,,,91
Carrollton,10146,3,FFFFFF,NORTA,7A4028,,,90
Algiers Loop Owl,10149,3,FFFFFF,NORTA,245685,,,100
Broad,10148,3,000000,NORTA,FFC421,,,94
Riverfront Streetcar,10119,0,FFFFFF,NORTA,0174F3,,,2 Riverfront
Elysian Fields,10136,3,000000,NORTA,51B948,,,55
Hayne,9850,3,000000,NORTA,AF7022,,,60
Morrison Express,9851,3,000000,NORTA,00B6DE,,,62
Lake Forest Express,9852,3,FFFFFF,NORTA,1F2D84,,,64
New Orleans East Owl,9853,3,FFFFFF,NORTA,1F2D84,,,63
Read-Crowder Express,9854,3,FFFFFF,NORTA,00873D,,,65
Desire-Louisa,9855,3,000000,NORTA,F8B9AB,,,80
Galvez,9856,3,000000,NORTA,B890C2,,,84
St. Claude/Jackson Barracks,9857,3,FFFFFF,NORTA,001D5B,,,88
Carrollton,9858,3,FFFFFF,NORTA,7A4028,,,90
Jackson-Esplanade,9859,3,000000,NORTA,A99B06,,,91
Tchoupitoulas,10121,3,000000,NORTA,ED99C2,,,10
Marigny-Bywater,10120,3,FFFFFF,NORTA,7D0349,,,5
M.L.King,10127,3,000000,NORTA,D60C8C,,,28
Franklin,9849,3,000000,NORTA,00B1B0,,,57
Loyola-UPT Streetcar,9870,0,000000,NORTA,FDBB30,,,49 Loyola-UPT
Freret,10124,3,000000,NORTA,D6ED6B,,,15
Freret,9838,3,000000,NORTA,D6ED6B,,,15
S. Claiborne,9839,3,FFFFFF,NORTA,692B91,,,16
Canal Streetcar - City Park/Museum,10132,0,000000,NORTA,87CB25,,,48 City Park
Canal Streetcar - Cemeteries,9832,0,FFFFFF,NORTA,C32F3D,,,47 Cemeteries
Marigny-Bywater,9833,3,FFFFFF,NORTA,7D0349,,,5
Riverfront Streetcar,9831,0,FFFFFF,NORTA,0174F3,,,2 Riverfront
Magazine,9836,3,FFFFFF,NORTA,9B5AA5,,,11
St. Charles Streetcar,9837,0,FFFFFF,NORTA,006737,,,12 St. Charles
Tchoupitoulas,9834,3,000000,NORTA,ED99C2,,,10
Elysian Fields,9835,3,000000,NORTA,51B948,,,55
S. Claiborne,10125,3,FFFFFF,NORTA,692B91,,,16
Magazine,10122,3,FFFFFF,NORTA,9B5AA5,,,11
St. Charles Streetcar,10123,0,FFFFFF,NORTA,006737,,,12 St. Charles
Aurora,10152,3,000000,NORTA,F2A800,,,106
Algiers Local,10153,3,000000,NORTA,71C167,,,108
Algiers Point,10150,3,FFFFFF,NORTA,4FBDED,,,101
Franklin,10137,3,000000,NORTA,00B1B0,,,57
Lakeview,10130,3,000000,NORTA,2AB560,,,45
Airport Express,10157,3,000000,NORTA,C0C0C0,,,202
General DeGaulle-Sullen,10154,3,000000,NORTA,D08313,,,114
General DeGaulle-Tullis,10155,3,000000,NORTA,D08313,,,115
Kenner Loop,10158,3,000000,NORTA,86A7CE,,,201
Hayne,10138,3,000000,NORTA,AF7022,,,60
Morrison Express,10139,3,000000,NORTA,00B6DE,,,62
Louisiana,10126,3,000000,NORTA,4FBDFF,,,27
St. Bernard-Paris Avenue,10135,3,000000,NORTA,99AAD1,,,52
Tulane,9843,3,000000,NORTA,F58025,,,39
Leonidas-Treme,9842,3,000000,NORTA,8FD1C5,,,32
M.L.King,9841,3,000000,NORTA,D60C8C,,,28
Louisiana,9840,3,000000,NORTA,4FBDFF,,,27
St. Bernard-Paris Ave.,9847,3,FFFFFF,NORTA,A62188,,,51
Canal Streetcar - City Park/Museum,9845,0,000000,NORTA,87CB25,,,48 City Park
Lakeview,9844,3,000000,NORTA,2AB560,,,45
Algiers Loop Owl,9861,3,FFFFFF,NORTA,245685,,,100
Broad,9860,3,000000,NORTA,FFC421,,,94
General Meyer,9863,3,000000,NORTA,CFAA78,,,102
Algiers Point,9862,3,FFFFFF,NORTA,4FBDED,,,101
Algiers Local,9865,3,000000,NORTA,71C167,,,108
Aurora,9864,3,000000,NORTA,F2A800,,,106
General DeGaulle-Tullis,9867,3,000000,NORTA,D08313,,,115
General DeGaulle-Sullen,9866,3,000000,NORTA,D08313,,,114
Algiers Point Ferry,9869,4,000000,NORTA,00FFFF,,,1 Algiers Point
Loyola-UPT Streetcar,10133,0,000000,NORTA,FDBB30,,,49 Loyola-UPT
Kenner Loop,9868,3,000000,NORTA,86A7CE,,,201
Algiers Point Ferry,10118,4,000000,NORTA,00FFFF,,,1 Algiers Point
Tulane,10129,3,000000,NORTA,F58025,,,39
Canal Streetcar - Cemeteries,10131,0,FFFFFF,NORTA,C32F3D,,,47 Cemeteries
Leonidas-Treme,10128,3,000000,NORTA,8FD1C5,,,32
St. Bernard-St. Anthony,9848,3,000000,NORTA,99AAD1,,,52
General Meyer,10151,3,000000,NORTA,CFAA78,,,102
St. Bernard-St.Anthony,10134,3,FFFFFF,NORTA,A62188,,,51
