stop_lat,wheelchair_boarding,stop_code,stop_lon,parent_station,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
29.963154,0,593,-90.107455,,,593,WASHINGTON AVE & LOWERLINE ST,Washington at Pine,0,
30.015705,0,4028,-89.980523,,,4028,CHEF MENTEUR BLVD & CHEF MENTEUR HWY,Chef Highway at Cerise,0,
29.964256,0,592,-90.108683,,,592,WASHINGTON AVE & FERN ST,Washington at Fern,0,
29.934205,0,344,-90.080777,,,344,JACKSON AVE & CARONDELET ST,Jackson at St Charles,0,
29.932927,0,345,-90.079799,,,345,JACKSON AVE & PRYTANIA ST,Jackson at Prytania,0,
29.931886,0,346,-90.078845,,,346,JACKSON AVE & COLISEUM ST,Jackson at Coliseum,0,
29.929627,0,347,-90.076902,,,347,JACKSON AVE & CAMP ST,Jackson at Magazine,0,
29.939859,0,340,-90.080266,,,340,EUTERPE ST & ORETHA C HALEY BLVD,O C Haley at Euterpe,0,
29.938463,0,341,-90.081333,,,341,ORETHA C HALEY BLVD & FELICITY ST,O C Haley at St Andrew,0,
29.9371,0,342,-90.083052,,,342,ORETHA CASTLE HALEY BLVD & JACKSON AVE,O C Haley at Jackson,0,
29.935653,0,343,-90.082021,,,343,BRAINARD ST & BARONNE ST,Jackson at Brainard,0,
29.928817,0,348,-90.076199,,,348,JACKSON AVE & CONSTANCE ST,Jackson at Constance,0,
29.927218,0,349,-90.074833,,,349,JACKSON AVE & ANNUNCIATION ST,Jackson at Annunication,0,
29.951484,0,7518,-90.07731,,,7518,POYDRAS ST & LA SALLE ST,Poydras at Liberty,0,
29.987839,0,964,-90.101605,,,964,MARCONI DR & UNNAMED ST,Marconi at Centra Park Place,0,
29.989116,0,966,-90.102216,,,966,ORLEANS AVE & VICTORY AVE,Orleans at Navarre,0,
29.935164,0,2318,-90.102756,,,2318,Freret St & Napoleon Ave,Napoleon at Freret,0,
29.937081,0,2319,-90.102974,,,2319,NAPOLEON AVE & S ROBERTSON ST,Napoleon at Magnolia,0,
29.930364,0,2316,-90.102236,,,2316,Danneel St & Napoleon Ave,Napoleon at Danneel,0,
29.932294,0,2317,-90.102489,,,2317,Napoleon Ave & Loyola Ave,Napoleon at Loyola,0,
29.926311,0,2314,-90.101858,,,2314,Napoleon Ave & St Charles Ave,Napoleon at St Charles,0,
29.922731,0,2312,-90.101485,,,2312,NAPOLEON AVE & CHESTNUT ST,Napoleon at Chestnut,0,
29.924924,0,2313,-90.101704,,,2313,PRYTANIA ST & NAPOLEON AVE,Napoleon at Prytania,0,
29.943177,0,299,-90.133947,,,299,S CARROLLTON AVE & ST CHARLES AVE,S Carrollton at St Charles,0,
29.938343,0,296,-90.128362,,,296,LOWERLINE ST & HAMPSON ST,St Charles at Lowerline,0,
29.939898,0,297,-90.130202,,,297,ST CHARLES AVE & ADAMS ST,St Charles at Hillary,0,
29.936238,0,294,-90.125307,,,294,SAINT CHARLES AVE & NEWCOMB BLVD,St Charles at Walnut,0,
29.941116,0,295,-90.131765,,,295,ST CHARLES AVE & BURDETTE ST,St Charles at Burdette,0,
29.934161,0,292,-90.12236,,,292,SAINT CHARLES AVE & CALHOUN ST,St Charles at Tulane/Loyola,0,
29.935065,0,293,-90.12374,,,293,ST CHARLES AVE & UNNAMED ST,St Charles at Tulane University,0,
29.932891,0,290,-90.120581,,,290,SAINT CHARLES AVE & HENRY CLAY AVE,St Charles at Calhoun,0,
29.933539,0,291,-90.121501,,,291,SAINT CHARLES AVE & CALHOUN ST,St Charles at Exposition,0,
29.942297,0,3773,-90.103872,,,3773,NAPOLEON AVE & S PRIEUR ST,Napoleon at S Roman,0,
29.944061,0,3772,-90.104046,,,3772,NAPOLEON AVE & S GALVEZ ST,Napoleon at S Johnson,0,
29.945743,0,3771,-90.104225,,,3771,NAPOLEON AVE & S MIRO ST,Napoleon at S Miro,0,
29.939165,0,3774,-90.103528,,,3774,WILLOW ST & JENA ST,Napoleon at Willow,0,
29.932859,0,270,-90.082645,,,270,SAINT CHARLES AVE & PHILIP ST,St Charles at 1st Street,0,
29.931945,0,271,-90.084266,,,271,SAINT CHARLES AVE & 3RD ST,St Charles at Third Street,0,
29.931058,0,272,-90.085858,,,272,SAINT CHARLES AVE & WASHINGTON AVE,St Charles at Washington,0,
29.93026,0,273,-90.087271,,,273,SAINT CHARLES AVE & CONERY ST,St Charles at Sixth Street,0,
29.987235,0,4651,-90.068395,,,4651,AGRICULTURE ST & CATON ST,N Broad at Agriculture,0,
29.927509,0,276,-90.093592,,,276,SAINT CHARLES AVE & FOUCHER ST,St Charles at Foucher,0,
29.927047,0,277,-90.095514,,,277,SAINT CHARLES AVE & PENISTON ST,St Charles at Peniston,0,
29.926879,0,278,-90.097339,,,278,SAINT CHARLES AVE & GENERAL TAYLOR ST,St Charles at Constantinople,0,
29.926715,0,279,-90.099601,,,279,SAINT CHARLES AVE & PALM TER,St Charles at Milan,0,
29.974076,0,4659,-90.080171,,,4659,N BROAD ST & BELLECHASSE ST,N Broad at Ursulines,0,
29.976184,0,4658,-90.078335,,,4658,N BROAD AVE & BELL ST,N Broad at Esplanade,0,
29.957861,0,642,-90.103967,,,642,S JEFFERSON DAVIS PKY & UNNAMED ST,Washington at S Jeff Davis,0,
29.990414,0,2262,-90.06687,,,2262,NEW ORLEANS ST & BENEFIT ST,New Orleans at Benefit,0,
29.992438,0,2261,-90.067033,,,2261,NEW ORLEANS ST & GENTILLY BLVD,New Orleans at Pleasure,0,
30.007164,0,1219,-90.079062,,,1219,CARTIER AVE & GRANADA DR,Mirabeau at Cartier,0,
29.930453,0,2442,-89.99958,,,2442,GENERAL MEYER AVE & RAMSEY DR,General Meyer at Ramsey,0,
29.931203,0,2443,-90.001273,,,2443,GENERAL MEYER AVE & ELLEN PARK PL,General Meyer at Bristol,0,
29.928676,0,2440,-89.995548,,,2440,CHELSEA DR & GENERAL MEYER AVE,General Meyer at Chelsea,0,
29.929524,0,2441,-89.997491,,,2441,GENERAL MEYER AVE & DANBURY DR,General Meyer at Danbury,0,
29.934079,0,2446,-90.007789,,,2446,GENERAL MEYER AVE & UNNAMED ST,General Meyer at Kabel,0,
29.934534,0,2447,-90.008745,,,2447,UNNAMED ST & GENERAL MEYER AVE,General Meyer at Jo Ellen Smith,0,
29.931953,0,2444,-90.002988,,,2444,HUNTLEE DR & GENERAL MEYER AVE,General Meyer at Huntlee,0,
29.933142,0,2445,-90.00541,,,2445,RIVERTREE CT & GENERAL MEYER AVE,General Meyer at River Oaks,0,
29.935088,0,2448,-90.009992,,,2448,STEEPLE CHASE LN & GENERAL MEYER AVE,General Meyer at St Nick,0,
29.935731,0,2449,-90.011458,,,2449,TROPIC DR & GENERAL MEYER AVE,General Meyer at Easter,0,
29.979713,0,7867,-90.0581,,,7867,ELYSIAN FIELDS AVE & I-10,Elysian Fields at N Miro,0,
29.921332,0,108,-90.076354,,,108,3RD ST & ROUSSEAU ST,Tchoupitoulas at Third Street,0,
29.920757,0,109,-90.078191,,,109,WASHINGTON AVE & ROUSSEAU ST,Tchoupitoulas at Washington,0,
29.922459,0,107,-90.073256,,,107,E SORAPARU ST & ROUSSEAU ST,Tchoupitoulas at Soraparu,0,
29.926412,0,104,-90.074136,,,104,JACKSON AVE & ANNUNCIATION ST,Jackson at Chippewa,0,
29.925601,0,105,-90.073441,,,105,ST THOMAS ST & PHILIP ST,Jackson at St Thomas,0,
29.975652,0,2042,-90.031476,,,2042,N GALVEZ ST & MAZANT ST,N Galvez at Mazant,0,
