block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_bikes_allowed,trip_id,trip_short_name
b_1267538,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-1,
b_1267537,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-2,
b_1267538,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-3,
b_1267537,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-4,
b_1267538,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-5,
b_1267537,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-6,
b_1267538,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-7,
b_1267537,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-8,
b_1267538,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-9,
b_1267537,10136,1,University of New Orleans via French Quarter,46674,2_merged_2495715,2,55-1-10,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-1,
a_1263833,9863,0,Canal St. via General Meyers Ave. & Delgado Comm. College/Federal City,45578,4,2,102-0-1,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-2,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-3,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-4,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-5,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City,45579,3_merged_2495709,2,102-1-6,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City,45579,3_merged_2495709,2,102-1-7,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City,45579,3_merged_2495709,2,102-1-8,
a_1263832,9863,1,Algiers: Bennett St. via Delgado Comm. College/Federal City & UPT,45580,3_merged_2495709,2,102-1-9,
a_1263593,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-1,
a_1263594,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-2,
b_1267387,10123,0,Canal Street via Garden District,46617,3_merged_2495714,1,12-0-1,
b_1267671,10147,1,Cemeteries via Canal St. and Delgado College,46711,3_merged_2495714,2,91-1-1,
a_1263594,9843,0,Washington Ave. via S. Carrollton Ave.,45503,2_merged_2495710,2,39-0-1,
a_1263593,9843,1,S. Claiborne Avenue via S. Carrollton Avenue,45506,2_merged_2495710,2,39-1-3,
a_1263594,9843,1,S. Claiborne Avenue via S. Carrollton Avenue,45506,2_merged_2495710,2,39-1-4,
a_1263593,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-5,
a_1263593,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-6,
a_1263594,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-7,
a_1263593,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-8,
a_1263594,9843,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,45505,2_merged_2495710,2,39-1-9,
a_1263818,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-1,
a_1263820,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-2,
a_1263819,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-3,
a_1263818,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-4,
a_1263819,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-5,
a_1263818,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-6,
a_1263820,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-7,
a_1263819,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-8,
a_1263819,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-9,
a_1263820,9849,0,Canal Street via UNO Lakefront Arena and St. Claude Ave.,45527,1_merged_2495708,2,57-0-10,
b_1267575,10140,1,Little Woods via Lake Forest Road and Morrison Road,46692,2_merged_2495715,2,63-1-1,
b_1267344,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-1,
b_1267343,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-2,
b_1267343,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-3,
b_1267342,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-4,
b_1267342,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-5,
b_1267344,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-6,
b_1267342,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-7,
b_1267344,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-8,
b_1267344,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-9,
b_1267343,10122,1,Audubon Zoo via World War II Museum,46616,3_merged_2495714,2,11-1-10,
a_1263630,9848,1,University of New Orleans via St. Anthony Ave.,45526,3_merged_2495709,2,52-1-1,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-1,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-2,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-3,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-4,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-5,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-6,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-7,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-8,
a_1263630,9848,0,Canal Street via St. Anthony Avenue,45524,3_merged_2495709,2,52-0-9,
b_1267351,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-1,
b_1267353,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-2,
b_1267350,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-3,
b_1267357,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-4,
b_1267349,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-5,
b_1267356,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-6,
b_1267348,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-7,
b_1267355,10123,1,S. Claiborne Avenue via Garden District,46620,1_merged_2495713,1,12-1-8,
b_1267590,10141,1,Expedition via Lake Forest Blvd. and Walmart,46695,1_merged_2495713,2,64-1-1,
b_1267353,10123,1,S. Claiborne Avenue via Garden District,46623,1_merged_2495713,1,12-1-9,
b_1267354,10123,1,S. Claiborne Avenue via Garden District,46623,1_merged_2495713,1,12-1-10,
b_1267312,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-1,
b_1267312,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-2,
b_1267312,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-3,
b_1267312,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-4,
b_1267313,10119,0,French Market,46607,2_merged_2495715,1,2-0-1,
b_1267313,10119,0,French Market,46607,2_merged_2495715,1,2-0-2,
b_1267313,10119,0,French Market,46607,2_merged_2495715,1,2-0-3,
b_1267313,10119,0,French Market,46607,2_merged_2495715,1,2-0-4,
b_1267502,10132,1,City Park and Museum of Art,46653,3_merged_2495714,1,48-1-1,
b_1267312,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-5,
b_1267314,10119,1,Convention Center,46609,2_merged_2495715,1,2-1-6,
b_1267453,10129,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,46640,3_merged_2495714,2,39-1-10,
b_1267452,10129,1,S. Claiborne Ave. via S. Carrollton Ave. and Xavier University,46640,3_merged_2495714,2,39-1-11,
b_1267468,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-1,
b_1267469,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-2,
b_1267322,10120,1,Poland Avenue via French Market,46612,2_merged_2495715,2,5-1-1,
b_1267470,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-3,
b_1267468,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-4,
b_1267469,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-5,
b_1267467,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-6,
b_1267470,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-7,
b_1267468,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-8,
b_1267469,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-9,
b_1267470,10131,1,Cemeteries,46646,1_merged_2495713,1,47-1-10,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-1,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-2,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-3,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-4,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-5,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-6,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-7,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-8,
b_1267376,10123,1,S. Claiborne Avenue via Garden District,46620,3_merged_2495714,1,12-1-11,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-9,
a_1263569,9840,0,Tchoupitoulas St. via Washington Ave. and Xavier University,45493,2_merged_2495710,2,27-0-10,
b_1267520,10134,1,University of New Orleans via Paris Ave.,46665,3_merged_2495714,2,51-1-1,
b_1267430,10127,1,Tchoupitoulas Street via Napoleon Avenue,46633,2_merged_2495715,2,28-1-1,
b_1267429,10127,1,Tchoupitoulas Street via Napoleon Avenue,46633,2_merged_2495715,2,28-1-2,
b_1267322,10120,1,Poland Avenue via French Market,46612,2_merged_2495715,2,5-1-2,
b_1267664,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-1,
b_1267665,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-2,
b_1267666,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-3,
b_1267667,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-4,
b_1267664,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-5,
b_1267665,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-6,
b_1267666,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-7,
b_1267667,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-8,
b_1267664,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-9,
b_1267665,10147,0,Walmart at Tchoupitoulas St. via Delgado College and Canal St.,46710,1_merged_2495713,2,91-0-10,
b_1267591,10141,1,Expedition via Lake Forest Blvd. and Walmart,46695,1_merged_2495713,2,64-1-2,
b_1267322,10120,1,Poland Avenue via French Market,46612,2_merged_2495715,2,5-1-3,
