route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Algiers Point Ferry,4,000000,00FFFF,NORTA,10118,,,1
Riverfront Streetcar,0,FFFFFF,0174F3,NORTA,10119,,,2
Marigny-Bywater,3,FFFFFF,7D0349,NORTA,10120,,,5
Tchoupitoulas,3,000000,ED99C2,NORTA,10121,,,10
Magazine,3,FFFFFF,9B5AA5,NORTA,10122,,,11
St. Charles Streetcar,0,FFFFFF,006737,NORTA,10123,,,12
Freret,3,000000,D6ED6B,NORTA,10124,,,15
S. Claiborne,3,FFFFFF,692B91,NORTA,10125,,,16
Louisiana,3,000000,4FBDFF,NORTA,10126,,,27
M.L.King,3,000000,D60C8C,NORTA,10127,,,28
Leonidas-Treme,3,000000,8FD1C5,NORTA,10128,,,32
Tulane,3,000000,F58025,NORTA,10129,,,39
Lakeview,3,000000,2AB560,NORTA,10130,,,45
Canal Streetcar - Cemeteries,0,FFFFFF,C32F3D,NORTA,10131,,,47
Canal Streetcar - City Park/Museum,0,000000,87CB25,NORTA,10132,,,48
Loyola-UPT Streetcar,0,000000,FDBB30,NORTA,10133,,,49
St. Bernard-St.Anthony,3,FFFFFF,A62188,NORTA,10134,,,51
St. Bernard-Paris Avenue,3,000000,99AAD1,NORTA,10135,,,52
Elysian Fields,3,000000,51B948,NORTA,10136,,,55
Franklin,3,000000,00B1B0,NORTA,10137,,,57
Hayne,3,000000,AF7022,NORTA,10138,,,60
Morrison Express,3,000000,00B6DE,NORTA,10139,,,62
New Orleans East Owl,3,FFFFFF,1F2D84,NORTA,10140,,,63
Lake Forest Express,3,FFFFFF,1F2D84,NORTA,10141,,,64
Read-Crowder Express,3,FFFFFF,00873D,NORTA,10142,,,65
Desire-Louisa,3,000000,F8B9AB,NORTA,10143,,,80
Galvez,3,000000,B890C2,NORTA,10144,,,84
St. Claude/Jackson Barracks,3,FFFFFF,001D5B,NORTA,10145,,,88
Carrollton,3,FFFFFF,7A4028,NORTA,10146,,,90
Jackson-Esplanade,3,000000,A99B06,NORTA,10147,,,91
Broad,3,000000,FFC421,NORTA,10148,,,94
Algiers Loop Owl,3,FFFFFF,245685,NORTA,10149,,,100
Algiers Point,3,FFFFFF,4FBDED,NORTA,10150,,,101
General Meyer,3,000000,CFAA78,NORTA,10151,,,102
Aurora,3,000000,F2A800,NORTA,10152,,,106
Algiers Local,3,000000,71C167,NORTA,10153,,,108
General DeGaulle-Sullen,3,000000,D08313,NORTA,10154,,,114
General DeGaulle-Tullis,3,000000,D08313,NORTA,10155,,,115
Kenner Loop,3,000000,86A7CE,NORTA,10158,,,201
Airport Express,3,000000,C0C0C0,NORTA,10157,,,202
