block_id,direction_id,route_id,trip_headsign,shape_id,service_id,trip_bikes_allowed,trip_id,trip_short_name
1267309,0,10119,French Market,46608,1,1,2-0-1,
1267309,0,10119,French Market,46607,1,1,2-0-2,
1267309,0,10119,French Market,46607,1,1,2-0-3,
1267309,0,10119,French Market,46607,1,1,2-0-4,
1267311,0,10119,French Market,46608,1,1,2-0-5,
1267309,0,10119,French Market,46607,1,1,2-0-6,
1267311,0,10119,French Market,46607,1,1,2-0-7,
1267309,0,10119,French Market,46607,1,1,2-0-8,
1267311,0,10119,French Market,46607,1,1,2-0-9,
1267309,0,10119,French Market,46607,1,1,2-0-10,
1267311,0,10119,French Market,46607,1,1,2-0-11,
1267309,0,10119,French Market,46607,1,1,2-0-12,
1267311,0,10119,French Market,46607,1,1,2-0-13,
1267310,0,10119,French Market,46608,1,1,2-0-14,
1267309,0,10119,French Market,46607,1,1,2-0-15,
1267311,0,10119,French Market,46607,1,1,2-0-16,
1267310,0,10119,French Market,46607,1,1,2-0-17,
1267309,0,10119,French Market,46607,1,1,2-0-18,
1267311,0,10119,French Market,46607,1,1,2-0-19,
1267310,0,10119,French Market,46607,1,1,2-0-20,
1267309,0,10119,French Market,46607,1,1,2-0-21,
1267311,0,10119,French Market,46607,1,1,2-0-22,
1267310,0,10119,French Market,46607,1,1,2-0-23,
1267309,0,10119,French Market,46607,1,1,2-0-24,
1267311,0,10119,French Market,46607,1,1,2-0-25,
1267310,0,10119,French Market,46607,1,1,2-0-26,
1267309,0,10119,French Market,46607,1,1,2-0-27,
1267311,0,10119,French Market,46607,1,1,2-0-28,
1267310,0,10119,French Market,46607,1,1,2-0-29,
1267309,0,10119,French Market,46607,1,1,2-0-30,
1267311,0,10119,French Market,46607,1,1,2-0-31,
1267310,0,10119,French Market,46607,1,1,2-0-32,
1267309,0,10119,French Market,46607,1,1,2-0-33,
1267311,0,10119,French Market,46607,1,1,2-0-34,
1267310,0,10119,French Market,46607,1,1,2-0-35,
1267309,0,10119,French Market,46607,1,1,2-0-36,
1267311,0,10119,French Market,46607,1,1,2-0-37,
1267310,0,10119,French Market,46607,1,1,2-0-38,
1267309,0,10119,French Market,46607,1,1,2-0-39,
1267311,0,10119,French Market,46607,1,1,2-0-40,
1267310,0,10119,French Market,46607,1,1,2-0-41,
1267309,0,10119,French Market,46607,1,1,2-0-42,
1267311,0,10119,French Market,46607,1,1,2-0-43,
1267310,0,10119,French Market,46607,1,1,2-0-44,
1267309,0,10119,French Market,46607,1,1,2-0-45,
1267310,0,10119,French Market,46607,1,1,2-0-46,
1267309,0,10119,French Market,46607,1,1,2-0-47,
1267310,0,10119,French Market,46607,1,1,2-0-48,
1267309,0,10119,French Market,46607,1,1,2-0-49,
1267310,0,10119,French Market,46607,1,1,2-0-50,
1267309,0,10119,French Market,46607,1,1,2-0-51,
1267310,0,10119,French Market,46607,1,1,2-0-52,
1267310,0,10119,French Market,46607,1,1,2-0-53,
1267310,0,10119,French Market,46607,1,1,2-0-54,
1267310,0,10119,French Market,46607,1,1,2-0-55,
1267309,1,10119,Convention Center,46609,1,1,2-1-1,
1267309,1,10119,Convention Center,46609,1,1,2-1-2,
1267309,1,10119,Convention Center,46609,1,1,2-1-3,
1267309,1,10119,Convention Center,46609,1,1,2-1-4,
1267311,1,10119,Convention Center,46609,1,1,2-1-5,
1267309,1,10119,Convention Center,46609,1,1,2-1-6,
1267311,1,10119,Convention Center,46609,1,1,2-1-7,
1267309,1,10119,Convention Center,46609,1,1,2-1-8,
1267311,1,10119,Convention Center,46609,1,1,2-1-9,
1267309,1,10119,Convention Center,46609,1,1,2-1-10,
1267311,1,10119,Convention Center,46609,1,1,2-1-11,
1267309,1,10119,Convention Center,46609,1,1,2-1-12,
1267311,1,10119,Convention Center,46609,1,1,2-1-13,
1267310,1,10119,Convention Center,46609,1,1,2-1-14,
1267309,1,10119,Convention Center,46609,1,1,2-1-15,
1267311,1,10119,Convention Center,46609,1,1,2-1-16,
1267310,1,10119,Convention Center,46609,1,1,2-1-17,
1267309,1,10119,Convention Center,46609,1,1,2-1-18,
1267311,1,10119,Convention Center,46609,1,1,2-1-19,
1267310,1,10119,Convention Center,46609,1,1,2-1-20,
1267309,1,10119,Convention Center,46609,1,1,2-1-21,
1267311,1,10119,Convention Center,46609,1,1,2-1-22,
1267310,1,10119,Convention Center,46609,1,1,2-1-23,
1267309,1,10119,Convention Center,46609,1,1,2-1-24,
1267311,1,10119,Convention Center,46609,1,1,2-1-25,
1267310,1,10119,Convention Center,46609,1,1,2-1-26,
1267309,1,10119,Convention Center,46609,1,1,2-1-27,
1267311,1,10119,Convention Center,46609,1,1,2-1-28,
1267310,1,10119,Convention Center,46609,1,1,2-1-29,
1267309,1,10119,Convention Center,46609,1,1,2-1-30,
1267311,1,10119,Convention Center,46609,1,1,2-1-31,
1267310,1,10119,Convention Center,46609,1,1,2-1-32,
1267309,1,10119,Convention Center,46609,1,1,2-1-33,
1267311,1,10119,Convention Center,46609,1,1,2-1-34,
1267310,1,10119,Convention Center,46609,1,1,2-1-35,
1267309,1,10119,Convention Center,46609,1,1,2-1-36,
1267311,1,10119,Convention Center,46609,1,1,2-1-37,
